"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Sep 18 09:41:22 UTC 2026","Fri Sep 18 09:41:22 UTC 2026","186","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 3]","getSingleGame_ReturnsValidFields[gameId = 3]","Verifies each valid game ID returns 200 with non-null name and category"
"passed","Fri Sep 18 09:41:23 UTC 2026","Fri Sep 18 09:41:23 UTC 2026","290","","config.VideoGameNegativeTests","","config.VideoGameNegativeTests","createGame_EmptyBody","createGame_EmptyBody","Returns 4xx when POSTing a game with an empty JSON body"
"passed","Fri Sep 18 09:41:19 UTC 2026","Fri Sep 18 09:41:19 UTC 2026","221","","MyFirstVideoGame","","MyFirstVideoGame","myFirstTest","myFirstTest","Sends GET to /videogame and logs the full request and response"
"passed","Fri Sep 18 09:41:27 UTC 2026","Fri Sep 18 09:41:27 UTC 2026","155","","GpathJSONTest","","GpathJSONTest","extractListOfValueWithFindAll","extractListOfValueWithFindAll","Returns a list of game names where reviewScore > 70 using GPath findAll"
"passed","Fri Sep 18 09:41:20 UTC 2026","Fri Sep 18 09:41:21 UTC 2026","197","","GpathXMLTests","","GpathXMLTests","getFirstGameInList","getFirstGameInList","Extracts the name of the first game in the XML list using List.item[0].name"
"passed","Fri Sep 18 09:41:22 UTC 2026","Fri Sep 18 09:41:23 UTC 2026","187","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 4]","getSingleGame_ReturnsValidFields[gameId = 4]","Verifies each valid game ID returns 200 with non-null name and category"
"passed","Fri Sep 18 09:41:21 UTC 2026","Fri Sep 18 09:41:22 UTC 2026","245","","config.VideoGameNegativeParameterizedTests","","config.VideoGameNegativeParameterizedTests","getSingleGame_InvalidId_Returns404[gameId = 99,999]","getSingleGame_InvalidId_Returns404[gameId = 99,999]","Verifies that non-existent or invalid game IDs return 404"
"passed","Fri Sep 18 09:41:26 UTC 2026","Fri Sep 18 09:41:26 UTC 2026","141","","config.VideoGameTests","","config.VideoGameTests","assertOnResponseTime","assertOnResponseTime","Asserts that the response time is under 1000 ms"
"passed","Fri Sep 18 09:41:27 UTC 2026","Fri Sep 18 09:41:27 UTC 2026","255","","GpathJSONTest","","GpathJSONTest","extractMapOfElementsWithFind","extractMapOfElementsWithFind","Finds a game by name using GPath find expression and returns it as a Map"
"passed","Fri Sep 18 09:41:22 UTC 2026","Fri Sep 18 09:41:22 UTC 2026","274","","config.VideoGameParameterizedTests","","config.VideoGameParameterizedTests","getSingleGame_ReturnsValidFields[gameId = 2]","getSingleGame_ReturnsValidFields[gameId = 2]","Verifies each valid game ID returns 200 with non-null name and category"
